,,Datasets,Metadata-source,Owner,Formats,RDF,DCAT-AP,Fecha creacion,Update,Periodicidad,Open Data License,Datos secundarios,Proyecto al que pertenece
,"Instalaciones hidraulicas ornamentales en parques historicos, singulares y forestales",https://datos.madrid.es/sites/v/index.jsp?vgnextoid=5d73c7d0890dd510VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD,Datos Abiertos Ayto Madrid,Ayuntamiento de Madrid,"RSS,CSV,XLS",http://datos.gob.es/apidata/catalog/dataset/l01280796-instalaciones-hidraulicas-ornamentales-en-parques-historicos-singulares-y-forestales.rdf,https://datos.madrid.es/egob/catalogo/300151-0-IHO.dcat,11/08/2017,27/04/2020,trimestral,https://datos.madrid.es/egob/catalogo/aviso-legal,https://datos.madrid.es/FWProjects/egob/Catalogo/MedioAmbiente/Agua/Ficheros/Estructura_DS_IHO.pdf,
,Volumen de agua regenerada de las plantas regeneradoras de agua residual,https://datos.madrid.es/sites/v/index.jsp?vgnextoid=93938090bbbcd510VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD,Datos Abiertos Ayto Madrid,Ayuntamiento de Madrid,"CSV,XLS",http://datos.gob.es/apidata/catalog/dataset/l01280796-volumen-de-agua-regenerada-en-las-plantas-regeneradoras-de-agua-residual1.rdf,https://datos.madrid.es/egob/catalogo/300149-0-agua-regenerada.dcat,11/08/2017,23/06/2020,trimestral,https://datos.madrid.es/egob/catalogo/aviso-legal,https://datos.madrid.es/FWProjects/egob/Catalogo/CienciaTecnologia/Ficheros/Estructura_Agua_Regenadora_Madrid.pdf,
,Calidad de las aguas,,,,,,,,,,,,
,Masas de agua subterranea,https://opendata.esri.es/datasets/masas-de-agua-subterr%C3%A1nea,MAGRAMA,MAPAMA,"CSV,KML,SHAPEFILE",https://opendata.arcgis.com/datasets/f4fad63547a74256b5852ac8d5dfd6a4_0.geojson,,11/07/2018,11/07/2018,sin definir,https://opendata.esri.es/datasets/masas-de-agua-subterr%C3%A1nea#,,
Clima,,,,,,,,,,,,,
,Inventario de Emisiones a la Atmósfera de la Comunidad de Madrid,https://datos.gob.es/es/catalogo/a13002908-inventario-de-emisiones-a-la-atmosfera-de-la-comunidad-de-madrid1,Datos.gob.es,CAM,JSON CSV,http://datos.gob.es/apidata/catalog/dataset/a13002908-inventario-de-emisiones-a-la-atmosfera-de-la-comunidad-de-madrid1.rdf,,13/02/2019,12/02/2020,sin definir,https://creativecommons.org/licenses/by/4.0/legalcode.es,,MGDS
,Inspeciones ambientales y actividades,https://datos.madrid.es/sites/v/index.jsp?vgnextoid=60768f4b4743f510VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD,Datos Abiertos Ayto Madrid,Ayuntamiento de Madrid,"CSV,XLS",http://datos.gob.es/apidata/catalog/dataset/l01280796-inspecciones-ambientales-de-instalaciones-y-actividades.rdf,https://datos.madrid.es/egob/catalogo/300172-0-Inspecciones%20ambientales.dcat,20/10/2017,3/09/2020,trimestral,https://datos.madrid.es/egob/catalogo/aviso-legal,https://datos.madrid.es/FWProjects/egob/Catalogo/MedioAmbiente/Ficheros/Estructura_DS_Inspecciones_ambientales_de_instalaciones_y_actividades.pdf,MGDS
,Datos meteorologicos en tiempo real,https://datos.madrid.es/sites/v/index.jsp?vgnextoid=4985724ec1acd610VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD,Datos Abiertos Ayto Madrid,Ayuntamiento de Madrid,CSV,http://datos.gob.es/apidata/catalog/dataset/l01280796-datos-meteorologicos-datos-en-tiempo-real1.rdf,https://datos.madrid.es/egob/catalogo/300392-0-meteorologia-tiempo-real.dcat,15/10/2019,15/10/2019,tiempo real,https://datos.madrid.es/egob/catalogo/aviso-legal,https://datos.madrid.es/FWProjects/egob/Catalogo/MedioAmbiente/DatosMeteorologicos/Ficheros/Interpretaci%C3%B3n_datos_meteorologicos.pdf,MGDS
,Datos meteorologicos,https://datos.madrid.es/sites/v/index.jsp?vgnextoid=fa8357cec5efa610VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD,Datos Abiertos Ayto Madrid,Ayuntamiento de Madrid,"CSV,XML-APP,PLAIN",http://datos.gob.es/apidata/catalog/dataset/l01280796-datos-meteorologicos-datos-horarios-desde-20191.rdf,https://datos.madrid.es/egob/catalogo/300352-0-meteorologicos-horarios.dcat,28/05/2019,9/09/2020,mensual,https://datos.madrid.es/egob/catalogo/aviso-legal,https://datos.madrid.es/FWProjects/egob/Catalogo/MedioAmbiente/DatosMeteorologicos/Ficheros/Interpretaci%C3%B3n_datos_meteorologicos.pdf,MGDS
,El CO2 y el clima en la eficiencia intrinseca del uso del agua y el crecimeinto de los arboles,https://datasetsearch.research.google.com/search?query=MADRID%20TREE&docid=MqHjDcNWY21Vvlo1AAAAAA%3D%3D,Goolge datset research,Domino publico,CSV,,,13/01/2017,13/01/2017,sin definir,https://doi.org/10.5061/dryad.m8446,https://doi.org/10.5061/dryad.m8446,
